id,EVmutation_spearman,Site_independent_spearman
A0A2R8Y422_PF00240_2_bit_0.7,0.15211780958799104,0.24026049486653134
A0PJY2_PF00096_289_bit_1.2,0.24501681879384202,0.25132895951234524
A0PJY2_PF00096_289_bit_1.5,0.250032597937287,0.2498701737668843
A1X283_PF00018_155_bit_0.7,0.5318459135123058,0.47877725020262085
A1X283_PF00018_155_bit_0.9,0.5989385195538537,0.5679319298571899
A1X283_PF00018_155_bit_1.1,0.5517519159634542,0.5219451021869683
A1X283_PF00018_222_bit_0.7,0.42241902457344027,0.39991006110833754
A1X283_PF00018_222_bit_0.9,0.44827907238886094,0.42532086107882344
A1X283_PF00018_222_bit_1.1,0.452197393838366,0.43803059445522385
A2RRE5_PF01846_267_bit_0.7,0.5618535091761444,0.5504276352947183
A6NK59_PF07525_532_bit_0.7,0.19927064110429032,0.22548515992059506
O00308_PF00397_440_bit_0.5,0.5632943088904303,0.43478173011806026
O00308_PF00397_440_bit_0.6,0.5525771968989298,0.4636474322002487
O00308_PF00397_440_bit_0.7,0.563228616561238,0.441873783782256
O00308_PF00397_440_bit_0.8,0.5945422010011149,0.5213880079563289
O00308_PF00397_440_bit_0.9,0.5973463037582829,0.5410934914061383
O00308_PF00397_440_bit_1.1,0.6466210942197457,0.5783327828555801
O00308_PF00397_440_bit_1,0.3628821934058791,0.25956006132884335
O00330_PF02817_181_bit_0.7,0.3258862786305971,0.2651154397471209
O00330_PF02817_181_bit_0.95,0.3292412822467795,0.3414463044009704
O00330_PF02817_181_bit_0.9,0.3351233656933014,0.3163321352882071
O00330_PF02817_181_bit_1.05,0.23330641495789156,0.273707147017642
O00330_PF02817_181_bit_1.0,0.2959991320177839,0.36457325372996296
O00330_PF02817_181_bit_1.1,0.17727183764849883,0.19064205034565568
O14529_PF02376_1036_bit_0.7,0.544110827710885,0.4766735772350464
O14529_PF02376_895_bit_0.7,0.4644339223629561,0.4402079992322792
O14640_PF00595_246_bit_0.5,0.42759448791464877,0.4647217172618722
O14640_PF00595_246_bit_0.6,0.43658342690863733,0.46124514818431983
O14640_PF00595_246_bit_0.7,0.3122263483018455,0.3641810971168638
O14640_PF00595_246_bit_0.8,0.3110377026563658,0.3473810219665883
